time,h,v
0.0,100.0,135.964
9.46802735257817,439.70714342852915,164.3758979777029
22.53197264742175,1764.2059642146176,145.84737818779556
26.666666666666607,2315.892320424674,128.50136315198907
26.666666666666607,2315.892320424673,128.50136315198895
36.134694019244776,3279.3088992951057,83.61598866711772
49.198639314088354,3994.0051736816686,35.29405221050821
53.333333333333215,4050.692324960356,32.42171403228363
53.333333333333215,4050.6923249603547,32.421714032285045
62.80136068591138,3286.9326533214603,137.0392868406539
75.86530598075498,2320.537626283524,264.2863835209887
79.99999999999984,2708.503714148155,262.1257823186009
79.99999999999984,2708.503714148154,262.1257823186014
89.46802735257802,4051.493240921951,278.1097296300976
102.53197264742161,6529.661992970162,284.7731626513577
106.66666666666646,7183.207412135974,281.41089401852986
106.66666666666646,7183.207412135974,281.41089401853134
116.13469401924462,8275.245953745716,287.0852597918955
129.1986393140882,8647.898344189449,312.3893726103581
133.33333333333306,8495.61902378904,324.4561453703339
133.33333333333306,8495.61902378904,324.4561453703323
142.80136068591125,8010.60046746355,352.82500707818843
155.86530598075484,7557.575734487843,381.44569366764694
159.9999999999997,7621.948372311569,384.54246324408376
159.9999999999997,7621.94837231157,384.5424632440819
169.46802735257785,8206.00826727474,382.7646359933292
182.53197264742144,9732.88923651932,359.8963732902051
186.6666666666663,10317.41673987732,347.873273399432
186.6666666666663,10317.41673987732,347.8732733994364
196.13469401924448,11704.701474291398,314.3808226145969
209.19863931408804,13367.691558488199,273.1910137227338
213.33333333333292,13750.306978844219,266.28495188085776
213.33333333333292,13750.306978844219,266.284951880859
222.80136068591108,14177.280245916923,266.5489570013933
235.86530598075464,13616.524323113728,303.3540063437909
239.99999999999952,13170.618272369813,322.97140716516793
239.99999999999952,13170.618272369813,322.97140716516657
249.46802735257768,12023.5735544593,361.67948880206734
262.53197264742124,10620.45465286642,404.03914086340285
266.6666666666661,10355.611324517044,411.87439324239284
266.6666666666661,10355.611324517047,411.8743932423941
276.1346940192443,10141.489186781098,425.19180809104694
289.19863931408787,10131.646021411205,442.99784217390635
293.33333333333275,10071.40429003107,450.7878027490815
293.33333333333275,10071.404290031072,450.78780274908024
302.80136068591094,9820.761929604754,470.25331615504234
315.8653059807545,9511.455659515967,493.76983810294155
319.9999999999994,9508.984966138158,498.338369775495
319.9999999999994,9508.98496613816,498.33836977549606
329.46802735257756,9897.88799765547,500.7775382660328
342.5319726474211,11291.433198044824,486.95473189534397
346.666666666666,11920.33037762855,478.9849971662935
346.666666666666,11920.330377628548,478.984997166293
356.13469401924414,13451.235062970449,455.8020563884277
369.19863931408776,15701.236376095176,409.6582693803386
373.3333333333326,16418.658471948813,391.0049979861724
373.3333333333326,16418.658471948816,391.0049979861713
382.80136068591077,18106.376193098335,340.6362554804689
395.86530598075433,19805.412666536417,293.48444756262575
399.9999999999992,20000.0,295.07188015409594
